Date,Open,High,Low,Close,Adjusted,Volume,Dividend amount
31-05-2006,24.33,25,22.45,22.65,16.0268,2309193400,0.09
,,,,,,,
28-04-2006,27.67,27.941,24,24.15,17.022,1446126900,0
,,,,,,,
31-03-2006,26.99,28.22,26.62,27.21,19.1788,1437940900,0
,,,,,,,
28-02-2006,27.95,28.07,26.34,26.87,18.9392,1047699000,0.09
,,,,,,,
31-01-2006,26.25,28.38,26.1,28.15,19.7752,1388622700,0
,,,,,,,
30-12-2005,27.73,28.101,26.1,26.15,18.3702,1271695500,0
,,,,,,,
30-11-2005,25.61,28.25,25.61,27.68,19.445,1444948300,0.08
,,,,,,,
31-10-2005,25.71,25.8,24.25,25.7,18.0017,1439659900,0
,,,,,,,
30-09-2005,27.38,27.39,25.12,25.73,18.0227,1348861500,0
,,,,,,,
31-08-2005,25.82,27.94,25.76,27.38,19.1784,1441979300,0.08
,,,,,,,
29-07-2005,24.85,26.48,24.5,25.61,17.8859,1321407700,0
,,,,,,,
30-06-2005,25.73,26,24.82,24.84,17.3481,1303029500,0
,,,,,,,
31-05-2005,25.23,26.09,24.31,25.8,18.0186,1270563700,0.08
,,,,,,,
29-04-2005,24.24,25.45,23.94,25.3,17.6141,1520253700,0
,,,,,,,
31-03-2005,25.2,25.79,23.82,24.17,16.8274,1541411300,0
,,,,,,,
28-02-2005,26.25,26.5,25.1296,25.16,17.5166,1361126000,0.08
,,,,,,,
31-01-2005,26.8,27.1,25.64,26.28,18.2401,1521414300,0
,,,,,,,
31-12-2004,26.95,27.44,26.679,26.72,18.5455,1803777700,0
,,,,,,,
30-11-2004,28.15,30.2,24.86,26.81,18.608,1739407300,3.08
,,,,,,,
29-10-2004,27.81,28.89,27.42,27.97,17.4508,1300591200,0
,,,,,,,
30-09-2004,27.24,27.79,26.74,27.65,17.2511,1141012300,0
,,,,,,,
31-08-2004,28.27,28.55,25.95,27.3,17.0327,1094195300,0.08
,,,,,,,
30-07-2004,28.69,29.89,27.25,28.49,17.7232,1550446900,0
,,,,,,,
30-06-2004,26.12,28.8,25.86,28.56,17.7667,1534889700,0
,,,,,,,
28-05-2004,26.21,26.6,25.42,26.23,16.3172,1141456900,0
,,,,,,,
30-04-2004,24.95,27.72,24.85,26.13,16.255,1558947800,0
,,,,,,,
31-03-2004,26.65,26.72,24.01,24.93,15.5085,1703041000,0
,,,,,,,
27-02-2004,27.63,27.8,26.35,26.53,16.5039,1032065600,0
,,,,,,,
30-01-2004,27.58,28.83,27.26,27.65,17.2006,1232189000,0
,,,,,,,
31-12-2003,25.9,27.55,25.5,27.37,17.0264,1476461300,0
,,,,,,,
28-11-2003,26.35,26.75,24.84,25.71,15.9938,1442336700,0
,,,,,,,
31-10-2003,28.03,29.46,25.91,26.14,16.2613,1400032500,0.16
,,,,,,,
30-09-2003,26.7,30,26.47,27.8,17.1992,1253309100,0
,,,,,,,
29-08-2003,26.33,26.95,25.43,26.52,16.4073,966506900,0
,,,,,,,
31-07-2003,25.59,27.81,25.39,26.41,16.3393,1292011000,0
,,,,,,,
30-06-2003,24.98,26.51,23.6,25.64,15.8629,1569995800,0
,,,,,,,
30-05-2003,25.54,26.5,23.89,24.61,15.2257,1311003700,0
